"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"built_density",10,"built_density->LST",0.0330361299710042,-0.0108104562585523,0.0767559197039701,0.139702416746177,2000,89.4143123511111,TRUE
"built_density",20,"built_density->LST",0.088335056101389,0.0446771046262925,0.131656241069404,7.6301703261672e-05,2000,89.4143123511111,TRUE
"built_density",30,"built_density->LST",0.150224310632916,0.107098565458448,0.192785850310329,1.45432554887748e-11,2000,89.4143123511111,TRUE
"built_density",40,"built_density->LST",0.218202192854007,0.176055051716093,0.259550780374023,0,2000,89.4143123511111,TRUE
"built_density",50,"built_density->LST",0.274885666103292,0.233872545686078,0.31492225944026,0,2000,89.4143123511111,TRUE
"built_density",60,"built_density->LST",0.326715880236165,0.286994788077857,0.365315400721812,0,2000,89.4143123511111,TRUE
"built_density",70,"built_density->LST",0.375816075168275,0.337545313510933,0.412846448734355,0,2000,89.4143123511111,TRUE
"built_density",80,"built_density->LST",0.426780605462484,0.390249759743302,0.461969841562992,0,2000,89.4143123511111,TRUE
"built_density",90,"built_density->LST",0.481044414775631,0.446630519299719,0.51403706841782,0,2000,89.4143123511111,TRUE
"built_density",100,"built_density->LST",0.532174609502401,0.500006687584898,0.562876058734375,0,2000,89.4143123511111,TRUE
"built_density",110,"built_density->LST",0.582813927448837,0.553112404955278,0.611035781193884,0,2000,89.4143123511111,TRUE
"built_density",120,"built_density->LST",0.638620441538791,0.611917904627304,0.663868803713207,0,2000,89.4143123511111,TRUE
"built_density",10,"LST->built_density",0.0413029563996803,-0.00253256105634656,0.0849800456619347,0.0647822772119535,2000,89.4143123511111,FALSE
"built_density",20,"LST->built_density",0.0931843580274042,0.049555829099268,0.136457947651513,2.99547704261105e-05,2000,89.4143123511111,FALSE
"built_density",30,"LST->built_density",0.141727991192069,0.0985090033787062,0.184413335279324,1.93431715089787e-10,2000,89.4143123511111,FALSE
"built_density",40,"LST->built_density",0.20223481195133,0.159820551117034,0.243903747525665,0,2000,89.4143123511111,FALSE
"built_density",50,"LST->built_density",0.259094556662025,0.217736315142693,0.299523988244229,0,2000,89.4143123511111,FALSE
"built_density",60,"LST->built_density",0.317678944461546,0.277714960592236,0.356545281974932,0,2000,89.4143123511111,FALSE
"built_density",70,"LST->built_density",0.374018527515213,0.33569076864223,0.41110989681021,0,2000,89.4143123511111,FALSE
"built_density",80,"LST->built_density",0.445155548822377,0.409310920120657,0.479628176547749,0,2000,89.4143123511111,FALSE
"built_density",90,"LST->built_density",0.521291172729629,0.488624667924513,0.552498250593839,0,2000,89.4143123511111,FALSE
"built_density",100,"LST->built_density",0.58845276519829,0.559040856684522,0.616385612899989,0,2000,89.4143123511111,FALSE
"built_density",110,"LST->built_density",0.645216918575486,0.618888435133328,0.670097194774939,0,2000,89.4143123511111,FALSE
"built_density",120,"LST->built_density",0.693890188257112,0.67045023112787,0.715946430613013,0,2000,89.4143123511111,FALSE
"green_density",10,"green_density->LST",0.0145395837585773,-0.0293100276803908,0.058333341523034,0.51578408513334,2000,453.809918393044,TRUE
"green_density",20,"green_density->LST",0.0346920486920861,-0.00915280156076027,0.0784037617612779,0.120908279405792,2000,453.809918393044,TRUE
"green_density",30,"green_density->LST",0.0565746173365764,0.0127753639982638,0.100157188370999,0.0113887460824638,2000,453.809918393044,TRUE
"green_density",40,"green_density->LST",0.0857486315937293,0.042075838571988,0.129094370467301,0.000123299600772508,2000,453.809918393044,TRUE
