"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"built_density",10,"built_density->LST",0.0209877756895546,-0.022864190035449,0.064759135509717,0.348183570711508,2000,89.4143123511111,TRUE
"built_density",20,"built_density->LST",0.0660963806832485,0.0223301399311687,0.109609766595591,0.00310339762996215,2000,89.4143123511111,TRUE
"built_density",30,"built_density->LST",0.119766962096545,0.0763367590924185,0.162743572735653,7.78078705909735e-08,2000,89.4143123511111,TRUE
"built_density",40,"built_density->LST",0.17765813043315,0.134877478132527,0.219777671587907,1.33226762955019e-15,2000,89.4143123511111,TRUE
"built_density",50,"built_density->LST",0.218822718537441,0.176686421378585,0.26015841875481,0,2000,89.4143123511111,TRUE
"built_density",60,"built_density->LST",0.256400149603484,0.214985276902664,0.296894505288797,0,2000,89.4143123511111,TRUE
"built_density",70,"built_density->LST",0.286835186882108,0.246098264065244,0.326560517826946,0,2000,89.4143123511111,TRUE
"built_density",80,"built_density->LST",0.321375612138908,0.281510084829829,0.36013363298934,0,2000,89.4143123511111,TRUE
"built_density",90,"built_density->LST",0.35520775020405,0.316301340644735,0.392921257612239,0,2000,89.4143123511111,TRUE
"built_density",100,"built_density->LST",0.387392425853669,0.349495852872458,0.424023535821147,0,2000,89.4143123511111,TRUE
"built_density",110,"built_density->LST",0.408379423379135,0.371192710712535,0.444258287717359,0,2000,89.4143123511111,TRUE
"built_density",120,"built_density->LST",0.432222515303609,0.395891637279119,0.467202430604074,0,2000,89.4143123511111,TRUE
"built_density",10,"LST->built_density",0.0384267227042583,-0.00541332749153063,0.0821193434522924,0.0857865035992487,2000,89.4143123511111,FALSE
"built_density",20,"LST->built_density",0.0792666576855608,0.0355592697362585,0.122671389251063,0.000387754870915469,2000,89.4143123511111,FALSE
"built_density",30,"LST->built_density",0.117918093612304,0.0744720668709455,0.160917331459861,1.23242199778772e-07,2000,89.4143123511111,FALSE
"built_density",40,"LST->built_density",0.153078317727172,0.10998533891384,0.195596880301727,5.89395199313003e-12,2000,89.4143123511111,FALSE
"built_density",50,"LST->built_density",0.185431666036992,0.142761044177446,0.227414256816942,0,2000,89.4143123511111,FALSE
"built_density",60,"LST->built_density",0.221216527501434,0.179122388233977,0.262502205495162,0,2000,89.4143123511111,FALSE
"built_density",70,"LST->built_density",0.258282489341021,0.216907110559506,0.298731553051167,0,2000,89.4143123511111,FALSE
"built_density",80,"LST->built_density",0.297838493640483,0.25736737340025,0.337266566748849,0,2000,89.4143123511111,FALSE
"built_density",90,"LST->built_density",0.333283404617047,0.293743513187555,0.371684721333397,0,2000,89.4143123511111,FALSE
"built_density",100,"LST->built_density",0.365210043831251,0.326607276127429,0.402596415625358,0,2000,89.4143123511111,FALSE
"built_density",110,"LST->built_density",0.38899469852805,0.351150888689409,0.425569668145042,0,2000,89.4143123511111,FALSE
"built_density",120,"LST->built_density",0.407662235125538,0.370450593697836,0.443567409497618,0,2000,89.4143123511111,FALSE
"green_density",10,"green_density->LST",0.0100670794380257,-0.0337787580628931,0.0538742400990198,0.652751241487296,2000,453.809918393044,TRUE
"green_density",20,"green_density->LST",0.0193657929571273,-0.0244859238449862,0.0631431283999335,0.386707189176277,2000,453.809918393044,TRUE
"green_density",30,"green_density->LST",0.0336607368441994,-0.010185222886575,0.0773775081424627,0.132365417774362,2000,453.809918393044,TRUE
"green_density",40,"green_density->LST",0.0537772860859828,0.00996985347191951,0.0973786865874374,0.0161622762074847,2000,453.809918393044,TRUE
"green_density",50,"green_density->LST",0.0715687443638073,0.0278250969594325,0.115038808911088,0.00136118273668773,2000,453.809918393044,TRUE
"green_density",60,"green_density->LST",0.0867234896114883,0.0430562210474227,0.130060041737906,0.000103054416636272,2000,453.809918393044,TRUE
"green_density",70,"green_density->LST",0.109650608865159,0.0661375390864939,0.152747423876767,8.85622988278101e-07,2000,453.809918393044,TRUE
"green_density",80,"green_density->LST",0.131606861348999,0.0882851975857652,0.174431593805897,3.46979245335888e-09,2000,453.809918393044,TRUE
"green_density",90,"green_density->LST",0.152237971067795,0.109135268855017,0.194769260581825,7.70317143405919e-12,2000,453.809918393044,TRUE
"green_density",100,"green_density->LST",0.179033028201515,0.136271442726796,0.221128722933821,6.66133814775094e-16,2000,453.809918393044,TRUE
"green_density",110,"green_density->LST",0.204073830937411,0.161689166879237,0.245706976996239,0,2000,453.809918393044,TRUE
"green_density",120,"green_density->LST",0.232319343861265,0.190427491233508,0.273366645862154,0,2000,453.809918393044,TRUE
"green_density",10,"LST->green_density",0.00976289088282521,-0.0340826262806271,0.0535708996463742,0.662584846987625,2000,453.809918393044,FALSE
"green_density",20,"LST->green_density",0.0261359297673155,-0.0177152968481742,0.0698868027308881,0.242684508461413,2000,453.809918393044,FALSE
"green_density",30,"LST->green_density",0.0400172478170233,-0.00382038575543386,0.0837013688189161,0.0735788185843549,2000,453.809918393044,FALSE
"green_density",40,"LST->green_density",0.0540895330773975,0.0102829792684879,0.0976888654762044,0.0155539916436698,2000,453.809918393044,FALSE
"green_density",50,"LST->green_density",0.0734127870997235,0.029677348774773,0.116867668691988,0.0010180117328118,2000,453.809918393044,FALSE
"green_density",60,"LST->green_density",0.0965113552268438,0.0529042170898043,0.139751115117422,1.5356174331238e-05,2000,453.809918393044,FALSE
"green_density",70,"LST->green_density",0.124179998874211,0.0807887935905178,0.167101411040237,2.52404288580976e-08,2000,453.809918393044,FALSE
"green_density",80,"LST->green_density",0.147647001789078,0.104492291617843,0.190246751476805,3.23969739923768e-11,2000,453.809918393044,FALSE
"green_density",90,"LST->green_density",0.169880340560571,0.1269950145454,0.212131737365781,2.04281036531029e-14,2000,453.809918393044,FALSE
