"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"built_density",10,"built_density->LST",0.0226116524155492,-0.0212403313019121,0.0663767996869611,0.312150051247525,2000,89.4143123511111,TRUE
"built_density",20,"built_density->LST",0.0685889161172765,0.0248326382374988,0.112082892148558,0.00214714335138577,2000,89.4143123511111,TRUE
"built_density",30,"built_density->LST",0.12619121175498,0.0828183539305446,0.169086911415679,1.4912779899845e-08,2000,89.4143123511111,TRUE
"built_density",40,"built_density->LST",0.178077510210481,0.135302655842605,0.22018979470857,8.88178419700125e-16,2000,89.4143123511111,TRUE
"built_density",50,"built_density->LST",0.222305021798242,0.180230222970279,0.263567792975081,0,2000,89.4143123511111,TRUE
"built_density",60,"built_density->LST",0.254295414754072,0.212836761764953,0.294840058570974,0,2000,89.4143123511111,TRUE
"built_density",70,"built_density->LST",0.287505860206467,0.246784823534707,0.327213364554864,0,2000,89.4143123511111,TRUE
"built_density",80,"built_density->LST",0.318459687890772,0.278516394346325,0.357303244241288,0,2000,89.4143123511111,TRUE
"built_density",90,"built_density->LST",0.349381707793506,0.31030266517477,0.387281911321333,0,2000,89.4143123511111,TRUE
"built_density",100,"built_density->LST",0.373053325922396,0.334695084719326,0.410177336061049,0,2000,89.4143123511111,TRUE
"built_density",110,"built_density->LST",0.394922294007378,0.357275737379044,0.431287717145622,0,2000,89.4143123511111,TRUE
"built_density",120,"built_density->LST",0.423957462329694,0.387323958151725,0.459254324010534,0,2000,89.4143123511111,TRUE
"built_density",10,"LST->built_density",0.040412567023055,-0.00342443138392999,0.0840945412793551,0.0707758165937935,2000,89.4143123511111,FALSE
"built_density",20,"LST->built_density",0.0892927353128125,0.045640429447799,0.132604681889625,6.36682898660368e-05,2000,89.4143123511111,FALSE
"built_density",30,"LST->built_density",0.131452869771488,0.088129714270463,0.174279654997025,3.61968410800273e-09,2000,89.4143123511111,FALSE
"built_density",40,"LST->built_density",0.17904431342094,0.136282885148211,0.22113981175227,6.66133814775094e-16,2000,89.4143123511111,FALSE
"built_density",50,"LST->built_density",0.22080373510568,0.178702289231011,0.262098073772092,0,2000,89.4143123511111,FALSE
"built_density",60,"LST->built_density",0.254783794934679,0.213335264953246,0.295316803353371,0,2000,89.4143123511111,FALSE
"built_density",70,"LST->built_density",0.286665489350932,0.245924553412574,0.326395324872286,0,2000,89.4143123511111,FALSE
"built_density",80,"LST->built_density",0.313623906735205,0.273553355692435,0.352607742317987,0,2000,89.4143123511111,FALSE
"built_density",90,"LST->built_density",0.348114117638604,0.308997926794328,0.386054565464607,0,2000,89.4143123511111,FALSE
"built_density",100,"LST->built_density",0.377114429158095,0.33888502094733,0.41410057857146,0,2000,89.4143123511111,FALSE
"built_density",110,"LST->built_density",0.394589428454043,0.356931709197422,0.430966696127115,0,2000,89.4143123511111,FALSE
"built_density",120,"LST->built_density",0.409550164107331,0.37240424731976,0.445385988171338,0,2000,89.4143123511111,FALSE
"green_density",10,"green_density->LST",0.0082286423655637,-0.0356151355536913,0.0520408054981447,0.713043072762044,2000,453.809918393044,TRUE
"green_density",20,"green_density->LST",0.0230940477367292,-0.0207578967463399,0.0668573051641059,0.301936661488918,2000,453.809918393044,TRUE
"green_density",30,"green_density->LST",0.0389617166283976,-0.00487754553598836,0.0826515029528554,0.081509664721306,2000,453.809918393044,TRUE
"green_density",40,"green_density->LST",0.0564520182908422,0.0126523920274103,0.100035428808107,0.0115683029952323,2000,453.809918393044,TRUE
"green_density",50,"green_density->LST",0.0780027953138738,0.0342890948681372,0.121418605602543,0.000480260981349678,2000,453.809918393044,TRUE
"green_density",60,"green_density->LST",0.0991554436823271,0.0555660050983149,0.14236763581936,8.89008405047242e-06,2000,453.809918393044,TRUE
"green_density",70,"green_density->LST",0.12277047020133,0.0793666207917883,0.165709695076632,3.63186689611439e-08,2000,453.809918393044,TRUE
"green_density",80,"green_density->LST",0.145899047356397,0.102725030118088,0.188524387032161,5.53321832796883e-11,2000,453.809918393044,TRUE
"green_density",90,"green_density->LST",0.170303400574604,0.127423628858509,0.212547758384064,1.75415237890775e-14,2000,453.809918393044,TRUE
"green_density",100,"green_density->LST",0.195944099294551,0.153430894483208,0.237733280430723,0,2000,453.809918393044,TRUE
"green_density",110,"green_density->LST",0.218979717283289,0.176846169248301,0.260312151704185,0,2000,453.809918393044,TRUE
"green_density",120,"green_density->LST",0.247981296709284,0.206393709203735,0.288674553028647,0,2000,453.809918393044,TRUE
"green_density",10,"LST->green_density",0.00788346048597036,-0.035959897717893,0.0516965299381763,0.724580194273869,2000,453.809918393044,FALSE
"green_density",20,"LST->green_density",0.016307632907935,-0.027542986875521,0.0600956104834839,0.466067705935998,2000,453.809918393044,FALSE
"green_density",30,"LST->green_density",0.024123468007569,-0.0197283244586729,0.0678826246774214,0.280892431906515,2000,453.809918393044,FALSE
"green_density",40,"LST->green_density",0.0378773436761462,-0.00596348954648368,0.0815728491306404,0.0903650932186373,2000,453.809918393044,FALSE
"green_density",50,"LST->green_density",0.0507534210442607,0.00693792229506474,0.0943744112225965,0.0232193657187105,2000,453.809918393044,FALSE
"green_density",60,"LST->green_density",0.0663733255487577,0.0226081646876483,0.109884581442693,0.00298066734875357,2000,453.809918393044,FALSE
"green_density",70,"LST->green_density",0.0868405510267168,0.0431739514979794,0.130175994475458,0.000100846062364157,2000,453.809918393044,FALSE
"green_density",80,"LST->green_density",0.112644843333231,0.069155353391801,0.155706999362778,4.40509888566254e-07,2000,453.809918393044,FALSE
"green_density",90,"LST->green_density",0.142393469330204,0.0991815524184127,0.185069340069634,1.58804080996333e-10,2000,453.809918393044,FALSE
"green_density",100,"LST->green_density",0.171197052009281,0.128329065572101,0.213426490646673,1.28785870856518e-14,2000,453.809918393044,FALSE
"green_density",110,"LST->green_density",0.197393881803565,0.154903164828532,0.239155649822329,0,2000,453.809918393044,FALSE
"green_density",120,"LST->green_density",0.221711618354263,0.179626262659765,0.262986889893862,0,2000,453.809918393044,FALSE
