"variable","E","k","rho","mae","rmse"
"DEM",2,4,0.819986976189497,3.68139856144936,4.77156579763932
"DEM",2,5,0.823406694143966,3.64571831372514,4.71991111468075
"DEM",2,6,0.826800016918326,3.60748191335985,4.67158655776881
"DEM",2,7,0.829312985792933,3.57619850425824,4.6355023051009
"DEM",2,8,0.830841553071449,3.55827558951721,4.61233717156034
"DEM",2,9,0.831735659292433,3.54794619599573,4.59953286552528
"DEM",2,10,0.832829255452217,3.53751172906116,4.58445870944452
"DEM",2,11,0.833314715198209,3.53021442365243,4.57688777597725
"DEM",2,12,0.833846438702299,3.52535664002437,4.56888853906984
"DEM",2,13,0.834384464519314,3.51986645837869,4.56082870279881
"DEM",2,14,0.834614898361456,3.51771672671945,4.55717443493219
"DEM",2,15,0.835107664296176,3.51218463086901,4.54985029954732
"DEM",2,16,0.835310016613537,3.51024228005861,4.5465382720913
"DEM",2,17,0.835554688981842,3.50849207781697,4.54301408227927
"DEM",3,4,0.906468684101678,2.37677487927678,3.50372933536794
"DEM",3,5,0.910189470058489,2.34912425976081,3.42691788838332
"DEM",3,6,0.912140709493829,2.33411061147488,3.38572387732756
"DEM",3,7,0.913384435726609,2.33027601690705,3.3583833027696
"DEM",3,8,0.914444530879864,2.32936015006889,3.3363896336845
"DEM",3,9,0.915290840936647,2.33227046048224,3.31741376326444
"DEM",3,10,0.91590330159765,2.3277438606204,3.30361615105689
"DEM",3,11,0.915862736761272,2.3328068467254,3.30340437589523
"DEM",3,12,0.916356815816679,2.33080656298667,3.29308610050222
"DEM",3,13,0.916531535910517,2.33407563974757,3.28884836479003
"DEM",3,14,0.916642237551222,2.33738231100801,3.28531952928949
"DEM",3,15,0.916747370155363,2.34122206584769,3.28243702443995
"DEM",3,16,0.916854510821905,2.34371224079254,3.27980312806859
"DEM",3,17,0.916586452036648,2.35161948169509,3.28449943747669
"DEM",4,4,0.974435282101797,1.13441562240086,1.84006180157364
"DEM",4,5,0.97497541090961,1.13698739069732,1.82069909249917
"DEM",4,6,0.97481458070146,1.15537932231497,1.82630858995265
"DEM",4,7,0.974562606477238,1.17737778042479,1.83544076784613
"DEM",4,8,0.973871490811912,1.20793364848509,1.86004306227571
"DEM",4,9,0.973578889551492,1.23055750832431,1.87051516318696
"DEM",4,10,0.972969132302337,1.25072841266526,1.89163553668122
"DEM",4,11,0.97263044357524,1.26747135769532,1.90345972460924
"DEM",4,12,0.972277878477026,1.28664637305219,1.91583398787437
"DEM",4,13,0.971714104026073,1.30507383510041,1.93521130308588
"DEM",4,14,0.971286553712872,1.31903020383351,1.94958024147449
"DEM",4,15,0.970684775856198,1.33766296849286,1.9696905897837
"DEM",4,16,0.970301660879983,1.35281044706945,1.9825582821909
"DEM",4,17,0.969973421660601,1.36464426452095,1.99347479456456
"DEM",5,4,0.99146936695151,0.720898579474062,1.06870034761881
"DEM",5,5,0.991267228175176,0.7266215944955,1.08246048866871
"DEM",5,6,0.990951462989544,0.73702470755889,1.1024699758208
"DEM",5,7,0.990533592496649,0.760785249285062,1.12757005615462
"DEM",5,8,0.990008332667483,0.786645553123436,1.15855276296242
"DEM",5,9,0.989503641655169,0.808929617278262,1.18753715837033
"DEM",5,10,0.988948298515859,0.831927638387101,1.21820152092483
"DEM",5,11,0.988527790926208,0.853874129341217,1.2412095831833
"DEM",5,12,0.988189361695875,0.869054946059774,1.25972631441481
"DEM",5,13,0.987657468950607,0.889395758651579,1.28780786693512
"DEM",5,14,0.987184286296008,0.907765088435959,1.31255747712186
"DEM",5,15,0.986777011903395,0.921111999610057,1.33345157326009
"DEM",5,16,0.986457517679336,0.934197189167476,1.34961547878377
"DEM",5,17,0.986151364259667,0.948911872589864,1.36474986574925
"DEM",6,4,0.99429517206842,0.624271520215975,0.875795691849086
"DEM",6,5,0.994392514558562,0.616522806152297,0.868902007481743
"DEM",6,6,0.994250119917743,0.614447127471571,0.880643314301221
"DEM",6,7,0.99405174440835,0.631334913174627,0.896303401949252
"DEM",6,8,0.99379582392817,0.646653036168248,0.916286293100753
"DEM",6,9,0.993521030373172,0.658999702711205,0.936420829910993
"DEM",6,10,0.993167297628586,0.674499749266115,0.96175946713981
"DEM",6,11,0.992890237625713,0.691202309165761,0.981324428241118
"DEM",6,12,0.992563578285765,0.706447724430588,1.00419355276422
"DEM",6,13,0.99227221066564,0.720173947843474,1.02397623539888
"DEM",6,14,0.991945031272763,0.735055409276203,1.04548090091303
"DEM",6,15,0.991742683077275,0.746192478068211,1.05898673073307
"DEM",6,16,0.991437601373259,0.758347088340139,1.07853744506956
"DEM",6,17,0.991111436091568,0.769816584484402,1.09895354292547
"DEM",7,4,0.995448787296598,0.571239929928064,0.782577316696764
"DEM",7,5,0.995563900674384,0.560937722346319,0.772877478079326
"DEM",7,6,0.99535506052113,0.564651706736343,0.791278460141605
"DEM",7,7,0.99519042823888,0.575686185196523,0.805933779472593
"DEM",7,8,0.995023551396793,0.584540370467988,0.820626768396375
