"variable","lag","lag_m","ami","autocorr"
"built_density",1,150,1.10222294839371,0.95136101551516
"built_density",2,300,0.677853510992211,0.866551474757795
"built_density",3,450,0.53041405093879,0.803967473797534
"built_density",4,600,0.441417767156069,0.75209151966898
"built_density",5,750,0.383637270508937,0.71050019078053
"built_density",6,900,0.34239948030617,0.677846731899305
"built_density",7,1050,0.307875914986963,0.651050885295234
"built_density",8,1200,0.286725217497415,0.628346793269091
"built_density",9,1350,0.267183040781865,0.608359713052961
"built_density",10,1500,0.252178962410848,0.590677314504571
"built_density",11,1650,0.240637699624062,0.578226509874523
"built_density",12,1800,0.2329171155667,0.570457957856455
"built_density",13,1950,0.227520807143228,0.564591434919781
"built_density",14,2100,0.222850071420818,0.558965756558827
"built_density",15,2250,0.221906836692042,0.55349057011061
"built_density",16,2400,0.219621664030514,0.548613767669478
"built_density",17,2550,0.217173020930086,0.544496899147421
"built_density",18,2700,0.212741253678342,0.541076021855397
"built_density",19,2850,0.210098864412561,0.537027251040689
"built_density",20,3000,0.208333835906094,0.53168539364598
"built_density",21,3150,0.200990829358803,0.523671625567499
"built_density",22,3300,0.193767201235693,0.51291688604499
"built_density",23,3450,0.185808045005053,0.499721589463285
"built_density",24,3600,0.17697778693879,0.484120304465937
"built_density",25,3750,0.167338205126038,0.466468740081943
"built_density",26,3900,0.158264589294635,0.448061060427517
"built_density",27,4050,0.146481330855223,0.428423400681405
"built_density",28,4200,0.134943167884334,0.408620563401842
"built_density",29,4350,0.124778681408545,0.393975425502369
"built_density",30,4500,0.118920543674797,0.384360968112785
"green_density",1,150,0.704995005284413,0.889360688862997
"green_density",2,300,0.344394833314271,0.714403670306994
"green_density",3,450,0.245938904464737,0.626090700667651
"green_density",4,600,0.199991279117891,0.573817224004376
"green_density",5,750,0.171274738196228,0.528224483793311
"green_density",6,900,0.14993764332008,0.485654607280772
"green_density",7,1050,0.130548136610555,0.445191242961243
"green_density",8,1200,0.110112396811488,0.399411350119043
"green_density",9,1350,0.0937534067162353,0.354829529967469
"green_density",10,1500,0.0827412660613553,0.317758250693737
"green_density",11,1650,0.0735181427960633,0.283068126475456
"green_density",12,1800,0.0647471966170532,0.250558053575448
"green_density",13,1950,0.0593150258310527,0.222645318784012
"green_density",14,2100,0.0550782287458078,0.20640577236747
"green_density",15,2250,0.0526333985616708,0.195336001931488
"green_density",16,2400,0.048501554091797,0.18092017731732
"green_density",17,2550,0.0439021072750248,0.16313649483619
"green_density",18,2700,0.0406445407686011,0.148215784077979
"green_density",19,2850,0.0378843835384663,0.131790707591509
"green_density",20,3000,0.0358943684242092,0.116019876797751
"green_density",21,3150,0.0339584299865692,0.0949248203026246
"green_density",22,3300,0.0294572537133022,0.0683194554053788
"green_density",23,3450,0.0230758801311015,0.0411988846742785
"green_density",24,3600,0.0194320444431217,0.0137732807932797
"green_density",25,3750,0.0181934885898701,-0.0127139836802248
"green_density",26,3900,0.0160900457764683,-0.0435856780505066
"green_density",27,4050,0.0183274917644688,-0.0716676392977434
"green_density",28,4200,0.0179960316444315,-0.0879172978769663
"green_density",29,4350,0.0169880055826615,-0.0958486981950246
"green_density",30,4500,0.0201279647015237,-0.0995219342251853
"distance_to_water",1,150,3.333248499297,0.999979794600655
"distance_to_water",2,300,3.13032284454089,0.999831527151008
"distance_to_water",3,450,2.89943369617755,0.999427351454434
"distance_to_water",4,600,2.67019549830886,0.998657862900326
"distance_to_water",5,750,2.45745090242567,0.997437061408016
"distance_to_water",6,900,2.2817744527088,0.995699785384868
"distance_to_water",7,1050,2.1415322065601,0.993417263982178
"distance_to_water",8,1200,2.03974660869938,0.990579868803062
"distance_to_water",9,1350,1.93346159057963,0.987135633217594
"distance_to_water",10,1500,1.78505423104703,0.983054481842598
"distance_to_water",11,1650,1.66730428588769,0.978291933501684
"distance_to_water",12,1800,1.57261468400714,0.97276564864132
"distance_to_water",13,1950,1.4451326954929,0.966350161009515
"distance_to_water",14,2100,1.34856467390813,0.958954751986375
"distance_to_water",15,2250,1.24433986681857,0.950431998734495
"distance_to_water",16,2400,1.15130084893937,0.940601043192972
"distance_to_water",17,2550,1.06208440967087,0.929276489222282
"distance_to_water",18,2700,0.976763093463741,0.916196751270392
"distance_to_water",19,2850,0.896599169986627,0.901125510963303
"distance_to_water",20,3000,0.825292665862192,0.883885898711842
"distance_to_water",21,3150,0.758527468377069,0.864341358791465
"distance_to_water",22,3300,0.690919740799637,0.842373274033341
"distance_to_water",23,3450,0.633935009826566,0.818013451938845
"distance_to_water",24,3600,0.582377641994475,0.791259663546018
"distance_to_water",25,3750,0.534564322436293,0.762130393746054
"distance_to_water",26,3900,0.4952260018831,0.730510234644275
"distance_to_water",27,4050,0.459754744869528,0.696474353485372
"distance_to_water",28,4200,0.426464479107055,0.66013233505021
"distance_to_water",29,4350,0.386361508587987,0.621549539144119
"distance_to_water",30,4500,0.356719940569008,0.58072057762322
"distance_to_roads",1,150,0.617594471054273,0.89523804920807
"distance_to_roads",2,300,0.372256155780634,0.703828468793609
"distance_to_roads",3,450,0.283114928920754,0.582411350449288
"distance_to_roads",4,600,0.226177989559743,0.499402908297497
"distance_to_roads",5,750,0.186913260938203,0.435080434357059
"distance_to_roads",6,900,0.157822579783793,0.387880762947981
"distance_to_roads",7,1050,0.139899437242546,0.354388683933886
"distance_to_roads",8,1200,0.128133173694016,0.337964440228001
"distance_to_roads",9,1350,0.122861386384752,0.332393456546518
"distance_to_roads",10,1500,0.115033023402536,0.328501733719761
"distance_to_roads",11,1650,0.109749808740894,0.318750123798432
"distance_to_roads",12,1800,0.106247768159648,0.309681933416522
"distance_to_roads",13,1950,0.102829690366202,0.304156263395371
"distance_to_roads",14,2100,0.0981484616804329,0.298245258306612
"distance_to_roads",15,2250,0.100246754809318,0.29266337972618
"distance_to_roads",16,2400,0.0976789752497136,0.289083612850352
"distance_to_roads",17,2550,0.096815829282867,0.283127003929624
"distance_to_roads",18,2700,0.0935057985674184,0.267164445461258
"distance_to_roads",19,2850,0.0884914708714516,0.246816892678281
"distance_to_roads",20,3000,0.0859914267810294,0.233438520925773
"distance_to_roads",21,3150,0.0770303326164402,0.222812589957703
"distance_to_roads",22,3300,0.0740231931936855,0.214053569496198
"distance_to_roads",23,3450,0.068854204663711,0.205342993173627
"distance_to_roads",24,3600,0.0655922859218156,0.199835339337116
"distance_to_roads",25,3750,0.0639172059067872,0.194045094254173
